category,sub_category,gift_name,price,occasion_type,gift_url,gift_image_url
디저트,디저트,옐로우 초콜릿박스 과자 간식 초콜릿 선물 세트 (수능 시험 합격 선물),30000,,https://gift.kakao.com/product/86205,https://carefli-github-actions-s3-bucket.s3.ap-northeast-2.amazonaws.com/giftImages/%22%E1%84%80%E1%85%A1%E1%86%AB%E1%84%89%E1%85%B5%E1%86%A8%E1%84%89%E1%85%A5%E1%86%AB%E1%84%86%E1%85%AE%E1%86%AF+%E1%84%8E%E1%85%AE%E1%84%8E%E1%85%A5%E1%86%AB%22+%E1%84%8B%E1%85%A8%E1%86%AF%E1%84%85%E1%85%A9%E1%84%8B%E1%85%AE+%E1%84%8E%E1%85%A9%E1%84%8F%E1%85%A9%E1%86%AF%E1%84%85%E1%85%B5%E1%86%BA%E1%84%87%E1%85%A1%E1%86%A8%E1%84%89%E1%85%B3+%E1%84%80%E1%85%AA%E1%84%8C%E1%85%A1+%E1%84%80%E1%85%A1%E1%86%AB%E1%84%89%E1%85%B5%E1%86%A8+%E1%84%8E%E1%85%A9%E1%84%8F%E1%85%A9%E1%86%AF%E1%84%85%E1%85%B5%E1%86%BA+%E1%84%89%E1%85%A5%E1%86%AB%E1%84%86%E1%85%AE%E1%86%AF+%E1%84%89%E1%85%A6%E1%84%90%E1%85%B3+(%E1%84%89%E1%85%AE%E1%84%82%E1%85%B3%E1%86%BC+%E1%84%89%E1%85%B5%E1%84%92%E1%85%A5%E1%86%B7+%E1%84%92%E1%85%A1%E1%86%B8%E1%84%80%E1%85%A7%E1%86%A8+%E1%84%89%E1%85%A5%E1%86%AB%E1%84%86%E1%85%AE%E1%86%AF).jpeg
디저트,디저트,초코브라우니설빙,12900,,https://gift.kakao.com/product/7359298,https://carefli-github-actions-s3-bucket.s3.ap-northeast-2.amazonaws.com/giftImages/%E1%84%8E%E1%85%A9%E1%84%8F%E1%85%A9%E1%84%87%E1%85%B3%E1%84%85%E1%85%A1%E1%84%8B%E1%85%AE%E1%84%82%E1%85%B5%E1%84%89%E1%85%A5%E1%86%AF%E1%84%87%E1%85%B5%E1%86%BC.jpeg
디저트,디저트,스타벅스 부드러운 티라미수 롤케이크,22900,,https://gift.kakao.com/product/6508069,https://carefli-github-actions-s3-bucket.s3.ap-northeast-2.amazonaws.com/giftImages/%22%E1%84%83%E1%85%A1%E1%86%AF%E1%84%8F%E1%85%A9%E1%86%B7%E1%84%92%E1%85%A1%E1%86%AB+%E1%84%8E%E1%85%A9%E1%84%8F%E1%85%A9+%E1%84%89%E1%85%B5%E1%84%90%E1%85%B3%22+%E1%84%89%E1%85%B3%E1%84%90%E1%85%A1%E1%84%87%E1%85%A5%E1%86%A8%E1%84%89%E1%85%B3+%E1%84%87%E1%85%AE%E1%84%83%E1%85%B3%E1%84%85%E1%85%A5%E1%84%8B%E1%85%AE%E1%86%AB+%E1%84%90%E1%85%B5%E1%84%85%E1%85%A1%E1%84%86%E1%85%B5%E1%84%89%E1%85%AE+%E1%84%85%E1%85%A9%E1%86%AF%E1%84%8F%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%8F%E1%85%B3.jpeg
디저트,디저트,배스킨라빈스 싱글레귤러 아이스크림,3900,,https://gift.kakao.com/product/7479381,https://carefli-github-actions-s3-bucket.s3.ap-northeast-2.amazonaws.com/giftImages/%E1%84%89%E1%85%B5%E1%86%BC%E1%84%80%E1%85%B3%E1%86%AF%E1%84%85%E1%85%A6%E1%84%80%E1%85%B2%E1%86%AF%E1%84%85%E1%85%A5+%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%89%E1%85%B3%E1%84%8F%E1%85%B3%E1%84%85%E1%85%B5%E1%86%B7.jpeg
차량,차량용품,아쿠아디파르마 카 디퓨저 레더케이스 + 카트리지 SET,288000,,https://gift.kakao.com/product/2866574,https://carefli-github-actions-s3-bucket.s3.ap-northeast-2.amazonaws.com/giftImages/%5B%E1%84%92%E1%85%A7%E1%86%AB%E1%84%83%E1%85%A2%E1%84%87%E1%85%A2%E1%86%A8%E1%84%92%E1%85%AA%E1%84%8C%E1%85%A5%E1%86%B7%5D+%E1%84%8F%E1%85%A1+%E1%84%83%E1%85%B5%E1%84%91%E1%85%B2%E1%84%8C%E1%85%A5+%E1%84%85%E1%85%A6%E1%84%83%E1%85%A5%E1%84%8F%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%89%E1%85%B3+%2B+%E1%84%8F%E1%85%A1%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%8C%E1%85%B5+SET.jpeg
차량,차량용품,행운을 전하는 차량용방향제&키링세트_춘식이,"24,000",,https://gift.kakao.com/product/7294666,https://carefli-github-actions-s3-bucket.s3.ap-northeast-2.amazonaws.com/giftImages/%5B%E1%84%83%E1%85%A1%E1%86%AB%E1%84%83%E1%85%A9%E1%86%A8%5D+%22%E1%84%8B%E1%85%AA%E1%86%AB%E1%84%8C%E1%85%A5%E1%86%AB+%E1%84%85%E1%85%A5%E1%86%A8%E1%84%8F%E1%85%B5%E1%84%87%E1%85%B5%E1%84%8F%E1%85%B5%E1%84%83%E1%85%A1%E1%84%82%E1%85%A3%E1%86%BC%22+%E1%84%92%E1%85%A2%E1%86%BC%E1%84%8B%E1%85%AE%E1%86%AB%E1%84%8B%E1%85%B3%E1%86%AF+%E1%84%8C%E1%85%A5%E1%86%AB%E1%84%92%E1%85%A1%E1%84%82%E1%85%B3%E1%86%AB+%E1%84%8E%E1%85%A1%E1%84%85%E1%85%A3%E1%86%BC%E1%84%8B%E1%85%AD%E1%86%BC%E1%84%87%E1%85%A1%E1%86%BC%E1%84%92%E1%85%A3%E1%86%BC%E1%84%8C%E1%85%A6%26%E1%84%8F%E1%85%B5%E1%84%85%E1%85%B5%E1%86%BC%E1%84%89%E1%85%A6%E1%84%90%E1%85%B3.jpeg
차량,차량용품,신지모루 차량용 무선 충전 거치대(오그랩 맥스 차량용 무선충전거치대),29900,,https://gift.kakao.com/product/2071496,https://carefli-github-actions-s3-bucket.s3.ap-northeast-2.amazonaws.com/giftImages/%E1%84%8E%E1%85%A1%E1%84%85%E1%85%A3%E1%86%BC%E1%84%8B%E1%85%AD%E1%86%BC+%E1%84%86%E1%85%AE%E1%84%89%E1%85%A5%E1%86%AB+%E1%84%8E%E1%85%AE%E1%86%BC%E1%84%8C%E1%85%A5%E1%86%AB+%E1%84%80%E1%85%A5%E1%84%8E%E1%85%B5%E1%84%83%E1%85%A2+%E1%84%92%E1%85%A2%E1%86%AB%E1%84%83%E1%85%B3%E1%84%91%E1%85%A9%E1%86%AB+%E1%84%92%E1%85%B2%E1%84%83%E1%85%A2%E1%84%91%E1%85%A9%E1%86%AB+%E1%84%8C%E1%85%A1%E1%84%83%E1%85%A9%E1%86%BC%E1%84%8E%E1%85%A1+%E1%84%80%E1%85%A9%E1%84%89%E1%85%A9%E1%86%A8+%E1%84%8E%E1%85%AE%E1%86%BC%E1%84%8C%E1%85%A5%E1%86%AB%E1%84%80%E1%85%B5.jpeg
의류,의류,스파오 캐릭터 긴팔 파자마 세트,39900,,https://gift.kakao.com/product/6506923,https://carefli-github-actions-s3-bucket.s3.ap-northeast-2.amazonaws.com/giftImages/%E1%84%89%E1%85%B5%E1%86%AB%E1%84%89%E1%85%A1%E1%86%BC+%E1%84%8F%E1%85%A2%E1%84%85%E1%85%B5%E1%86%A8%E1%84%90%E1%85%A5+%E1%84%80%E1%85%B5%E1%86%AB%E1%84%91%E1%85%A1%E1%86%AF+%E1%84%91%E1%85%A1%E1%84%8C%E1%85%A1%E1%84%86%E1%85%A1+%E1%84%89%E1%85%A6%E1%84%90%E1%85%B3(%E1%84%89%E1%85%A1%E1%86%AB%E1%84%85%E1%85%B5%E1%84%8B%E1%85%A9%2C+%E1%84%83%E1%85%A1%E1%86%B7%E1%84%80%E1%85%A9%E1%86%B7%E1%84%8B%E1%85%B5%2C+%E1%84%86%E1%85%A1%E1%86%BC%E1%84%80%E1%85%B3%E1%84%85%E1%85%A5%E1%84%8C%E1%85%B5%E1%86%AB%E1%84%80%E1%85%A9%E1%86%B7%2C+%E1%84%85%E1%85%B5%E1%84%85%E1%85%A1%E1%86%A8%E1%84%8F%E1%85%AE%E1%84%86%E1%85%A1%2C+%E1%84%8F%E1%85%A5%E1%84%92%E1%85%A2%E1%86%B7%2C+%E1%84%91%E1%85%A9%E1%84%8F%E1%85%A6%E1%86%BA%E1%84%86%E1%85%A9%E1%86%AB).jpeg
의류,의류,커버낫 C 로고 하프 집업 맨투맨,63200,,https://gift.kakao.com/product/9202168,https://carefli-github-actions-s3-bucket.s3.ap-northeast-2.amazonaws.com/giftImages/C%E1%84%85%E1%85%A9%E1%84%80%E1%85%A9+%E1%84%92%E1%85%A1%E1%84%91%E1%85%B3%E1%84%8C%E1%85%B5%E1%86%B8%E1%84%8B%E1%85%A5%E1%86%B8+%E1%84%86%E1%85%A2%E1%86%AB%E1%84%90%E1%85%AE%E1%84%86%E1%85%A2%E1%86%AB+3%E1%84%8C%E1%85%A9%E1%86%BC+%E1%84%90%E1%85%A2%E1%86%A81.jpeg
의류,의류,마르디 메크르디 반팔티셔츠,42000,,https://gift.kakao.com/product/8515150,https://carefli-github-actions-s3-bucket.s3.ap-northeast-2.amazonaws.com/giftImages/%E1%84%86%E1%85%A1%E1%84%85%E1%85%B3%E1%84%83%E1%85%B5+%E1%84%86%E1%85%A6%E1%84%8F%E1%85%B3%E1%84%85%E1%85%B3%E1%84%83%E1%85%B5+%E1%84%87%E1%85%A1%E1%86%AB%E1%84%91%E1%85%A1%E1%86%AF%E1%84%90%E1%85%B5%E1%84%89%E1%85%A7%E1%84%8E%E1%85%B3.jpeg
의류,의류,나이키 NSW 클럽 스우시 반팔 티셔츠,19900,,https://gift.kakao.com/product/9693910,https://carefli-github-actions-s3-bucket.s3.ap-northeast-2.amazonaws.com/giftImages/%E1%84%82%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%8F%E1%85%B5+NSW+%E1%84%8F%E1%85%B3%E1%86%AF%E1%84%85%E1%85%A5%E1%86%B8+%E1%84%89%E1%85%B3%E1%84%8B%E1%85%AE%E1%84%89%E1%85%B5+%E1%84%87%E1%85%A1%E1%86%AB%E1%84%91%E1%85%A1%E1%86%AF+%E1%84%90%E1%85%B5%E1%84%89%E1%85%A7%E1%84%8E%E1%85%B3.jpeg
